row_id,source_file,upload_first,upload_last,duplicate_count,plate,start_time,end_time,duration_min,fare_or_meter,distance_km,extra_metric,start_lon,start_lat,end_lon,end_lat
1,BCW7826_2025-09-25.txt,2025-09-25 00:14:21,2025-09-25 00:14:21,1,粤BCW7826,2025-09-25 00:02:55,2025-09-25 00:13:49,10.9,24.5,4.698,1.428,114.08672,22.539635,114.122355,22.55198
2,BCW7826_2025-09-25.txt,2025-09-25 00:36:44,2025-09-25 00:36:44,1,粤BCW7826,2025-09-25 00:27:03,2025-09-25 00:36:13,9.166666666666666,18.0,2.652,1.659,114.120267,22.544577,114.10705,22.554105
3,BCW7826_2025-09-25.txt,2025-09-25 01:05:43,2025-09-25 01:05:43,1,粤BCW7826,2025-09-25 00:59:22,2025-09-25 01:05:11,5.816666666666666,13.0,1.4,2.851,114.12059,22.54408,114.11704,22.550825
4,BCW7826_2025-09-25.txt,2025-09-25 01:23:02,2025-09-25 01:23:02,1,粤BCW7826,2025-09-25 01:16:39,2025-09-25 01:22:30,5.85,14.0,1.711,0.969,114.11809,22.543802,114.117395,22.536812
5,BCW7826_2025-09-25.txt,2025-09-25 01:35:10,2025-09-25 01:35:10,1,粤BCW7826,2025-09-25 01:23:26,2025-09-25 01:34:37,11.183333333333334,38.5,9.21,0.165,114.11626,22.535797,114.070315,22.523652
6,BCW7826_2025-09-25.txt,2025-09-25 02:45:17,2025-09-25 02:45:17,1,粤BCW7826,2025-09-25 02:36:46,2025-09-25 02:44:45,7.983333333333333,20.5,3.772,4.383,114.086475,22.540697,114.116117,22.54195
7,BCW7826_2025-09-25.txt,2025-09-25 03:43:06,2025-09-25 03:43:06,1,粤BCW7826,2025-09-25 03:08:10,2025-09-25 03:42:34,34.4,94.5,23.002,0.253,114.11606,22.541975,114.00006,22.65155
8,BCW7826_2025-09-25.txt,2025-09-25 04:30:34,2025-09-25 04:30:34,1,粤BCW7826,2025-09-25 04:16:02,2025-09-25 04:30:02,14.0,39.0,8.785,14.561,114.11283,22.611085,114.135632,22.557785
9,BCW7826_2025-09-25.txt,2025-09-25 05:00:34,2025-09-25 05:00:34,1,粤BCW7826,2025-09-25 04:49:31,2025-09-25 05:00:02,10.516666666666667,24.0,4.397,9.616,114.11934,22.612095,114.131792,22.633495
10,BCW7826_2025-09-25.txt,2025-09-25 07:00:58,2025-09-25 07:00:58,1,粤BCW7826,2025-09-25 06:50:29,2025-09-25 07:00:54,10.416666666666666,14.0,1.737,9.15,114.1099,22.54468,114.114675,22.531222
11,BCW7826_2025-09-25.txt,2025-09-25 07:40:18,2025-09-25 07:40:18,1,粤BCW7826,2025-09-25 07:16:19,2025-09-25 07:40:08,23.816666666666666,38.0,9.887,4.369,114.124545,22.563777,114.050035,22.545327
12,BCW7826_2025-09-25.txt,2025-09-25 08:20:49,2025-09-25 11:43:51,1379,粤BCW7826,2025-09-25 07:48:23,2025-09-25 08:16:56,28.55,37.5,7.757,2.836,114.034025,22.550035,114.066765,22.55911
13,BCW7826_2025-09-25.txt,2025-09-25 11:43:56,2025-09-25 11:43:56,1,粤BCW7826,2025-09-25 08:22:50,2025-09-25 08:39:19,16.483333333333334,23.0,4.395,1.551,114.061062,22.56393,114.025395,22.55594
14,BCW7826_2025-09-25.txt,2025-09-25 11:44:02,2025-09-25 11:44:14,3,粤BCW7826,2025-09-25 08:49:49,2025-09-25 09:04:09,14.333333333333334,21.0,3.863,2.616,114.0185,22.556432,114.03078,22.529872
15,BCW7826_2025-09-25.txt,2025-09-25 11:44:19,2025-09-25 11:44:19,1,粤BCW7826,2025-09-25 09:07:49,2025-09-25 09:18:48,10.983333333333333,20.5,5.121,0.717,114.03481,22.526905,114.056947,22.54939
16,BCW7826_2025-09-25.txt,2025-09-25 11:44:25,2025-09-25 11:44:25,1,粤BCW7826,2025-09-25 09:52:35,2025-09-25 10:01:54,9.316666666666666,14.0,2.158,4.423,114.08964,22.554087,114.085132,22.540757
17,BCW7826_2025-09-25.txt,2025-09-25 11:44:29,2025-09-25 11:44:29,1,粤BCW7826,2025-09-25 10:14:23,2025-09-25 10:21:05,6.7,12.0,2.187,3.48,114.107585,22.53632,114.115127,22.53843
18,BCW7826_2025-09-25.txt,2025-09-25 11:44:34,2025-09-25 11:44:34,1,粤BCW7826,2025-09-25 10:53:25,2025-09-25 11:02:00,8.583333333333334,14.5,3.009,1.301,114.12705,22.550012,114.14179,22.548207
19,BCW7826_2025-09-25.txt,2025-09-25 11:44:37,2025-09-25 11:44:37,1,粤BCW7826,2025-09-25 11:15:33,2025-09-25 11:19:55,4.366666666666666,10.5,1.963,3.642,114.122535,22.550357,114.120445,22.538915
20,BCW7826_2025-09-25.txt,2025-09-25 12:11:34,2025-09-25 12:11:34,1,粤BCW7826,2025-09-25 12:06:08,2025-09-25 12:11:29,5.35,12.0,2.448,4.235,114.115367,22.563352,114.120875,22.557675
