state,start_time,end_time,duration_min,start_lon,start_lat,end_lon,end_lat,source,evidence,candidate_rank
occupied,2025-09-25 00:02:55,2025-09-25 00:13:49,10.9,114.08672,22.539635,114.122355,22.55198,trip row 1,交易/行程记录：00:02:55-00:13:49，里程 4.698 km。,0
cruising,2025-09-25 00:13:49,2025-09-25 00:27:03,13.233333333333333,114.122355,22.55198,114.120267,22.544577,gap row 1->2,两单间空档 13.2 分钟，端点直线距离 0.85 km，按空驶/巡游处理。,0
occupied,2025-09-25 00:27:03,2025-09-25 00:36:13,9.166666666666666,114.120267,22.544577,114.10705,22.554105,trip row 2,交易/行程记录：00:27:03-00:36:13，里程 2.652 km。,0
cruising,2025-09-25 00:36:13,2025-09-25 00:59:22,23.15,114.10705,22.554105,114.12059,22.54408,gap row 2->3,两单间空档 23.1 分钟，端点直线距离 1.78 km，按空驶/巡游处理。,0
occupied,2025-09-25 00:59:22,2025-09-25 01:05:11,5.816666666666666,114.12059,22.54408,114.11704,22.550825,trip row 3,交易/行程记录：00:59:22-01:05:11，里程 1.400 km。,0
cruising,2025-09-25 01:05:11,2025-09-25 01:16:39,11.466666666666667,114.11704,22.550825,114.11809,22.543802,gap row 3->4,两单间空档 11.5 分钟，端点直线距离 0.79 km，按空驶/巡游处理。,0
occupied,2025-09-25 01:16:39,2025-09-25 01:22:30,5.85,114.11809,22.543802,114.117395,22.536812,trip row 4,交易/行程记录：01:16:39-01:22:30，里程 1.711 km。,0
cruising,2025-09-25 01:22:30,2025-09-25 01:23:26,0.9333333333333333,114.117395,22.536812,114.11626,22.535797,gap row 4->5,两单间空档 0.9 分钟，端点直线距离 0.16 km，按空驶/巡游处理。,0
occupied,2025-09-25 01:23:26,2025-09-25 01:34:37,11.183333333333334,114.11626,22.535797,114.070315,22.523652,trip row 5,交易/行程记录：01:23:26-01:34:37，里程 9.210 km。,0
heading,2025-09-25 01:34:37,2025-09-25 01:37:38,3.023187852198257,114.070315,22.523652,114.078395,22.5321745,gap row 5->6,空档前段：从上一单终点向候选充电点移动。,4
