battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,真实类别,预测类别,预测是否正确,类别_0_概率,类别_1_概率,类别_2_概率,类别_3_概率
1497,1,0.7,0,5,0,32,0.7,92,3,9,1920,1933,1329,6,1,7,1,1,0,2,0,False,0.2608001779002428,0.2590893362760305,0.25685244124890705,0.22325804457481963
1918,0,1.9,0,2,0,10,0.6,110,5,10,1170,1543,1717,7,1,16,1,1,1,2,2,True,0.259300520007387,0.25759765275872715,0.2598415848321988,0.22326024240168701
775,1,2.6,0,0,0,30,0.4,189,7,10,561,1510,2523,17,16,9,1,0,1,2,2,True,0.22325945328108743,0.25788515193486283,0.2606524396457233,0.25820295513832636
1994,1,0.8,1,2,1,7,0.6,88,8,4,667,711,454,11,8,6,1,1,0,0,0,True,0.26279587871147103,0.26207582087335163,0.2518991872932124,0.22322911312196497
1512,0,0.6,1,1,1,54,0.4,134,3,2,220,1838,3366,7,3,11,1,0,1,3,2,False,0.22319774482316912,0.24920613008884704,0.26522726980170497,0.26236885528627885
1924,0,2.6,0,0,1,59,0.9,136,6,0,1438,1923,3646,10,9,16,1,0,1,3,2,False,0.22317386253896923,0.24766782819508393,0.26681752759471333,0.2623407816712336
970,1,1.3,1,5,0,59,0.2,84,7,19,1765,1786,3675,12,0,12,0,0,0,3,2,False,0.22321699226380776,0.25071508604779913,0.26367644104372834,0.2623914806446648
1936,0,2.1,1,10,1,46,0.6,104,3,20,667,1036,2552,14,7,13,1,0,0,2,2,True,0.2232529509386944,0.25619920967345267,0.2623524043074525,0.2581954350804004
1606,0,1.4,0,3,0,57,0.1,154,4,4,1127,1924,3454,13,8,20,0,0,1,3,2,False,0.22317386253896923,0.24766782819508393,0.26681752759471333,0.2623407816712336
1476,1,1.2,1,0,1,55,0.1,171,4,5,1641,1666,1529,13,8,3,1,0,1,2,2,True,0.259300520007387,0.25759765275872715,0.2598415848321988,0.22326024240168701
