feature,importance
ram,0.4829127172074827
battery_power,0.07296042498741344
px_width,0.057761842216879446
px_height,0.05564983748645613
mobile_wt,0.038956347357337835
int_memory,0.0350322753140451
talk_time,0.03042655023042323
pc,0.029901098399397714
sc_w,0.028025944955818796
clock_speed,0.027637675676216163
sc_h,0.02748050996463585
fc,0.02579927595868447
m_dep,0.025139828666782445
n_cores,0.02330996435435111
four_g,0.007000098452630982
touch_screen,0.006983835008387442
blue,0.006975813048306329
dual_sim,0.006825509435115797
wifi,0.006460447548057342
three_g,0.004760003731577834
